,city_8,location,num_moves,dist,azimuth,lat,lon,location_pair,location_pair_id,locations,country,loc2,loc1
280,Johannesburg,"('Bangou', 'Bangou', 'Cameroon')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Bangou', 'Bangou', 'Cameroon'))",140,Johannesburg,Cameroon,Bangou,Bangou
281,Johannesburg,"('Bangou', 'Bangou', 'Cameroon')",1,3820.2909030689584,1.9984938332041535,10.3967165,5.2497379,"('Johannesburg', ('Bangou', 'Bangou', 'Cameroon'))",140,"('Bangou', 'Bangou', 'Cameroon')",Cameroon,Bangou,Bangou
282,Johannesburg,"('Beila', 'Beila', 'Mozambique')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Beila', 'Beila', 'Mozambique'))",141,Johannesburg,Mozambique,Beila,Beila
283,Johannesburg,"('Beila', 'Beila', 'Mozambique')",1,965.3102885523822,0.6660032215521065,34.841782,-19.828707,"('Johannesburg', ('Beila', 'Beila', 'Mozambique'))",141,"('Beila', 'Beila', 'Mozambique')",Mozambique,Beila,Beila
284,Johannesburg,"('Bergville', 'Bergville', 'South Africa')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Bergville', 'Bergville', 'South Africa'))",142,Johannesburg,South Africa,Bergville,Bergville
285,Johannesburg,"('Bergville', 'Bergville', 'South Africa')",1,287.6347573188842,-1.0363059698866959,29.351667,-28.731111,"('Johannesburg', ('Bergville', 'Bergville', 'South Africa'))",142,"('Bergville', 'Bergville', 'South Africa')",South Africa,Bergville,Bergville
286,Johannesburg,"('Bilene', 'Bilene', 'Mozambique')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Bilene', 'Bilene', 'Mozambique'))",143,Johannesburg,Mozambique,Bilene,Bilene
287,Johannesburg,"('Bilene', 'Bilene', 'Mozambique')",1,573.4328407333085,0.1816813697984445,33.13616268201895,-25.07326245,"('Johannesburg', ('Bilene', 'Bilene', 'Mozambique'))",143,"('Bilene', 'Bilene', 'Mozambique')",Mozambique,Bilene,Bilene
288,Johannesburg,"('Blairgowrie', 'Johannesburg', 'South Africa')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Blairgowrie', 'Johannesburg', 'South Africa'))",144,Johannesburg,South Africa,Johannesburg,Blairgowrie
289,Johannesburg,"('Blairgowrie', 'Johannesburg', 'South Africa')",1,8.642681405000786,2.1987091379693378,28.0075,-26.1111111,"('Johannesburg', ('Blairgowrie', 'Johannesburg', 'South Africa'))",144,"('Blairgowrie', 'Johannesburg', 'South Africa')",South Africa,Johannesburg,Blairgowrie
290,Johannesburg,"('Blantyre', 'Blantyre', 'Malawi')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Blantyre', 'Blantyre', 'Malawi'))",145,Johannesburg,Malawi,Blantyre,Blantyre
291,Johannesburg,"('Blantyre', 'Blantyre', 'Malawi')",1,1251.1767101485336,0.8620538832986955,35.003569399999996,-15.786254300000001,"('Johannesburg', ('Blantyre', 'Blantyre', 'Malawi'))",145,"('Blantyre', 'Blantyre', 'Malawi')",Malawi,Blantyre,Blantyre
292,Johannesburg,"('Bloemfontein', 'Bloemfontein', 'South Africa')",1,0.01,0.0,28.04978,-26.180942,"('Johannesburg', ('Bloemfontein', 'Bloemfontein', 'South Africa'))",146,Johannesburg,South Africa,Bloemfontein,Bloemfontein
