Q100,nearNeighbor,Q103,Q100a,neighborhood,city,lat,lon,UNWPP_joined,Count
Denu,Afloa,Ghana,Village,Old Fadama,Accra,1.147734,6.101257,569,1
Diare,Savelugu,Ghana,Village,Old Fadama,Accra,-0.8258943,9.6260647,105,1
Dididi,Thohoyandou,South Africa,Village,Diepsloot,Johannesburg,30.4596582,-22.9676429,737,1
Diepkloof,Diepkloof Sa,South Africa,City,Berea,Johannesburg,27.9502778,-26.2419444,18150,1
Diepkloof,Johannesburg,South Africa,Town,Berea,Johannesburg,27.9502778,-26.2419444,18150,2
Diepkloof,Soweto,South Africa,City,Berea,Johannesburg,27.9502778,-26.2419444,18150,1
Diepsloot,Diepsloot,South Africa,City,Diepsloot,Johannesburg,28.0105905,-25.9309502,39093,7
Diepsloot,Diepsloot Farm ~~/Diepsloot No2,South Africa,City,Diepsloot,Johannesburg,28.0105905,-25.9309502,39093,1
Diepsloot,Diepsloot No2,South Africa,City,Diepsloot,Johannesburg,28.0105905,-25.9309502,39093,1
Diepsloot,Four-Ways,South Africa,Town,Diepsloot,Johannesburg,28.0105905,-25.9309502,39093,1
Diepsloot,Fourways,South Africa,Town,Diepsloot,Johannesburg,28.0105905,-25.9309502,39093,12
Diepsloot,Johannesburg,South Africa,Town,Diepsloot,Johannesburg,28.0105905,-25.9309502,39093,3
Diepsloot,Rand Burg,South Africa,Town,Diepsloot,Johannesburg,28.0105905,-25.9309502,39093,1
Diepsloot,Randburg,South Africa,Town,Diepsloot,Johannesburg,28.0105905,-25.9309502,39093,2
Diepsloot(Johannesburg),Johannesburg,South Africa,Town,Diepsloot,Johannesburg,28.049722,-26.205,24049,1
Diffa,Diffa,Niger,City,Madina,Accra,12.6136611,13.3130749,31,1
Dikeni,Dikeni,South Africa,Village,Diepsloot,Johannesburg,25.0059125,-31.5119283,3328,1
Dinka,Marialba,South Sudan,Village,Kawangware,Nairobi,31.6623305,9.5072926,230,1
Dogbo,Allada,Benin,Village,Old Fadama,Accra,1.806164002,6.7887816,392,1
Dormaa,Sunyani,Ghana,Town,James Town,Accra,-2.3309226,7.3384389,121,1
Dosso,Niamey,Niger,Town,Madina,Accra,3.621398,13.3336993,71,1
Dosso,Niamey,Niger,Town,Old Fadama,Accra,3.621398,13.3336993,71,1
Dukathole,Kempton Park,South Africa,Town,Katlehong,Johannesburg,29.1771381,-27.4199441,5312,1
Dumbe,Polipitersburg,South Africa,Village,Berea,Johannesburg,29.1575,-28.5242,1,1
Dzeta,Aflao,Togo,Town,James Town,Accra,1.1914021,6.1160471,8087,1
East London,Malvern,South Africa,City,Berea,Johannesburg,27.8998573,-33.0191604,545,1
Ebo Kwahu,Nkawkaw,Ghana,Town,Madina,Accra,-0.769811,6.552795,215,1
Edenburg,Thulamahashe,South Africa,Village,Katlehong,Johannesburg,25.9369444,-29.7347222,447,1
Effium,Ohaukwu,Nigeria,Village,Old Fadama,Accra,8.0575522,6.6308111,509,1
